Time,Speed,Throttle,Brake,RPM,nGear,DRS,X,Y
0 days 00:00:07.301000,246.0,0.0,True,8659.0,8,0,-161.8346155548896,7208.284879887948
0 days 00:00:07.362000,241.64286171428571,0.0,True,8526.3251392,8,0,-160.0,7261.0
0 days 00:00:07.562000,227.35714742857144,0.0,True,8091.3251392,8,0,-152.0,7463.0
0 days 00:00:07.581000,226.0,0.0,True,8050.0,8,0,-151.42857871465318,7476.826975610273
0 days 00:00:07.861000,199.0,0.0,True,8030.0,7,0,-147.35872241527844,7567.893623611743
0 days 00:00:07.882000,197.21500544,0.0,True,8130.58969344,7,0,-147.0,7576.0
0 days 00:00:08.061000,182.0,0.0,True,8988.0,7,0,-143.02276316647124,7668.466305702011
0 days 00:00:08.062000,181.916672,0.0,True,8989.9193216,7,0,-143.0,7669.0
0 days 00:00:08.302000,161.916672,0.0,True,9450.585988266666,7,0,-138.0,7783.0
0 days 00:00:08.421000,152.0,0.0,True,9679.0,7,0,-135.88564575746258,7821.825455339689
0 days 00:00:08.522000,146.10833706666668,0.0,True,9657.958346666666,7,0,-134.0,7852.0
0 days 00:00:08.661000,138.0,0.0,True,9629.0,6,0,-130.89975344845385,7899.093969282115
0 days 00:00:08.802000,125.6625056,0.0,True,9999.124832,6,0,-126.0,7957.0
0 days 00:00:08.821000,124.0,0.0,True,10049.0,5,0,-125.1142554707562,7965.860317762268
0 days 00:00:09.022000,113.9500032,0.0,True,9603.6595168,5,0,-114.0,8062.0
0 days 00:00:09.141000,108.0,0.0,True,9340.0,2,0,-108.80703025657877,8096.59159634292
0 days 00:00:09.363000,98.4857088,0.0,True,8360.0280064,2,0,-99.0,8133.0
0 days 00:00:09.421000,96.0,0.0,True,8104.0,2,0,-95.09452451271741,8145.0340635839975
0 days 00:00:09.683000,91.0874976,0.0,True,7389.2309008,2,0,-72.0,8206.0
0 days 00:00:09.741000,90.0,0.0,True,7231.0,2,0,-66.50303858687175,8216.945138281437
0 days 00:00:09.863000,86.4416704,0.0,True,7017.500224,2,0,-54.0,8238.0
0 days 00:00:09.981000,83.0,0.0,True,6811.0,2,0,-39.27130834798186,8259.643716591561
0 days 00:00:09.983000,82.96000256,0.0,True,6808.14518272,2,0,-39.0,8260.0
0 days 00:00:10.263000,77.36000256,0.0,True,6408.44518272,2,0,3.0,8303.0
0 days 00:00:10.381000,75.0,0.0,False,6240.0,2,0,19.63696713547923,8316.769241429814
0 days 00:00:10.443000,74.2249984,0.0,False,6171.0248576,2,0,33.0,8324.0
0 days 00:00:10.621000,72.0,0.0,False,5973.0,2,0,91.4412001084687,8344.830584398349
0 days 00:00:10.623000,71.9714304,0.0,False,5971.5572352,2,0,92.0,8345.0
0 days 00:00:10.901000,68.0,0.0,False,5771.0,2,0,127.94189930984668,8349.644756961286
0 days 00:00:11.023000,68.0,5.18499456,False,5943.01981952,2,0,141.0,8346.0
0 days 00:00:11.243000,68.0,14.535005439999999,False,6253.22018048,2,0,180.0,8336.0
0 days 00:00:11.301000,68.0,17.0,False,6335.0,2,0,190.60344704356788,8331.986498280812
0 days 00:00:11.463000,69.5187488,19.531247999999998,False,6521.8061024,2,0,219.0,8318.0
