time_s,distance_m,speed,long_accel,throttle,full_throttle,brake,gear,gear_shift,rpm,drs
0.0,0.0,284.41250026666665,1.1574050179210682,100.0,1,0,7,0.0,11271.212513066666,0
0.062,5.5748038142222205,284.67083306666666,1.1574064809157107,100.0,1,0,7,0.0,11283.870820266668,0
0.141,13.49147048088889,285.0,1.4839617929528686,100.0,1,0,7,0.0,11300.0,0
0.262,24.60841490755556,285.86428525714285,1.9841267333136443,100.0,1,0,7,0.0,11338.460693942858,0
0.421,37.36397046311111,287.0,1.5733508676554493,100.0,1,0,7,0.0,11389.0,0
0.582,46.952998232,287.67083306666666,1.1574078849664602,100.0,1,0,7,0.0,11421.870820266668,0
0.661,56.512998232,288.0,1.9225560283018126,100.0,1,0,7,0.0,11438.0,0
0.821,67.83105378755555,290.0,1.9345039633910233,100.0,1,0,7,0.0,11500.0,0
0.942,82.34785933422222,290.3361109333333,0.7716047367722041,100.0,1,0,7,0.0,11509.411106133331,0
1.181,100.13119266755555,291.0,1.1907265390453574,100.0,1,0,7,0.0,11528.0,0
1.382,114.7370259831111,292.1166663111111,1.5432100063391658,100.0,1,0,7,0.0,10914.391862044444,0
1.541,122.0620259831111,293.0,1.7136013658259799,100.0,1,0,7,0.0,10429.0,0
1.562,128.576053752,293.1312496,1.7361066194659998,100.0,1,0,7,0.0,10438.9749696,0
1.701,145.726053752,294.0,1.448826527579854,100.0,1,0,8,1.0,10505.0,0
1.982,158.83174818755555,294.8781248,0.8680567823505498,100.0,1,0,8,0.0,10526.95312,0
2.021,165.3873037431111,295.0,0.9950095787713167,100.0,1,0,8,0.0,10530.0,0
2.142,180.20860997706666,295.60499968,1.3888884004995958,100.0,1,0,8,0.0,10545.124992,0
2.382,191.70980371466666,296.80499968,1.3888908494927819,100.0,1,0,8,0.0,10575.124992,0
2.421,198.35105371466668,297.0,1.0524516925906937,100.0,1,0,8,0.0,10580.0,0
2.543,204.95105371466667,297.0,2.2737367544323206e-13,100.0,1,0,8,0.0,10590.6749888,0
2.581,214.76855371466667,297.0,0.22175536881432834,100.0,1,0,8,0.0,10594.0,0
2.781,223.956887048,298.0,1.1803530803540525,100.0,1,0,8,0.0,10621.0,0
2.803,233.89327595466665,298.0916672,1.1574134618362848,100.0,1,0,8,0.0,10625.8583616,0
3.021,243.85994262133332,299.0,1.3676770308588857,100.0,1,0,8,0.0,10674.0,0
3.043,252.25163986151108,299.11000064,1.3888958744758924,100.0,1,0,8,0.0,10674.8250048,0
3.223,266.4187787201777,300.00999936,1.3888879593318961,100.0,1,0,8,0.0,10681.5749952,0
3.383,274.69105370257773,300.80999936,1.3888926693839494,100.0,1,0,8,0.0,10687.5749952,0
